File	longest	second_longest	completeness
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0500min/longreads/medaka_consensus/consensus.fasta	3098611	1047680	1.0004316562038094
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0550min/longreads/medaka_consensus/consensus.fasta	3098731	1047504	1.000418144327111
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0600min/longreads/medaka_consensus/consensus.fasta	3098532	1046912	1.000227289068747
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0650min/longreads/medaka_consensus/consensus.fasta	3098766	1046932	1.0002885750809145
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0700min/longreads/medaka_consensus/consensus.fasta	3098499	1047216	1.0002926769006264
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0750min/longreads/medaka_consensus/consensus.fasta	3098664	1046897	1.000255519239706
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0800min/longreads/medaka_consensus/consensus.fasta	3098484	1046910	1.0002152248931235
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0850min/longreads/medaka_consensus/consensus.fasta	3098475	1046902	1.0002111230734114
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0900min/longreads/medaka_consensus/consensus.fasta	3098455	1046888	1.0002029194339874
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0950min/longreads/medaka_consensus/consensus.fasta	3098471	1046902	1.0002101579393616
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1000min/longreads/medaka_consensus/consensus.fasta	2633441	1046882	0.8880012604650691
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1100min/longreads/medaka_consensus/consensus.fasta	3098798	1046879	1.0002835081271526
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1200min/longreads/medaka_consensus/consensus.fasta	3098622	1046861	1.0002366991257334
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1300min/longreads/medaka_consensus/consensus.fasta	3098592	1046865	1.000230425754409
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1400min/longreads/medaka_consensus/consensus.fasta	3098592	1046870	1.0002316321719715
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1500min/longreads/medaka_consensus/consensus.fasta	3098586	1046869	1.0002299431873842
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1600min/longreads/medaka_consensus/consensus.fasta	3098382	1046868	1.0001804800673277
